what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1338909004760
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1338909004760
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1338909004760
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1338909004760
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1338909004760
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1338909004760
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1338909004760
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1338909004760
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1338909004760
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1338909004760
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1338909004760
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1338909004760
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1338909004760
started,bundle,com.powerflasher.fdt.ui.launch,5.0.0.1460,"com.powerflasher.fdt.ui.launch",1338909004776
os,sysinfo,,,"win32",1338909004776
arch,sysinfo,,,"x86",1338909004776
ws,sysinfo,,,"win32",1338909004776
locale,sysinfo,,,"pt_BR",1338909004776
processors,sysinfo,,,"4",1338909004776
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1338909004776
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1338909004776
java.specification.name,sysinfo,,,"Java Platform API Specification",1338909004776
java.specification.vendor,sysinfo,,,"Oracle Corporation",1338909004776
java.specification.version,sysinfo,,,"1.7",1338909004776
java.vendor,sysinfo,,,"Oracle Corporation",1338909004776
java.version,sysinfo,,,"1.7.0_03",1338909004776
java.vm.info,sysinfo,,,"mixed mode, sharing",1338909004776
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1338909004776
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1338909004776
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1338909004776
java.vm.specification.version,sysinfo,,,"1.7",1338909004776
java.vm.vendor,sysinfo,,,"Oracle Corporation",1338909004776
java.vm.version,sysinfo,,,"22.1-b02",1338909004776
started,bundle,com.powerflasher.fdt.haxe.core,1.0.0.1,"com.powerflasher.fdt.haxe.core",1338909005026
started,bundle,com.powerflasher.fdt.core,5.0.0.1460,"com.powerflasher.fdt.core",1338909005026
started,bundle,com.powerflasher.fdt.core.dom,5.0.0.1460,"com.powerflasher.fdt.core.dom",1338909005401
started,bundle,com.powerflasher.fdt.core.mxml,5.0.0.1460,"com.powerflasher.fdt.core.mxml",1338909005401
started,bundle,com.powerflasher.fdt.ui.mxml,5.0.0.1460,"com.powerflasher.fdt.ui.mxml",1338909005417
started,bundle,com.powerflasher.fdt.ui.professional,5.0.0.1460,"com.powerflasher.fdt.ui.professional",1338909005463
